DTSZ1.10.2.bdom = [ 1.2866758381 , 1.18680728037 , 1.23266054689 , 1.08950717547 , 1.16279966955 , 1.26723799621 , 1.27220922295 , 1.26571897251 , 1.19501809032 , 1.28172360252 , 1.28105344574 , 1.23652490653 , 1.23094124928 , 1.16397467056 , 1.14419872298 , 1.20664708714 , 1.18894938486 , 1.28255305297 , 1.1968214267 , 1.28178866488 , ]
DTSZ1.10.2.cdom = [ 1.2290708824 , 1.18099237654 , 1.19230739007 , 1.102518807 , 1.15044821961 , 1.2538375098 , 1.25515355177 , 1.23987591434 , 1.18848622714 , 1.2420281824 , 1.27068513607 , 1.20015313761 , 1.2322467707 , 1.16309129935 , 1.12427418996 , 1.21477078052 , 1.19055738832 , 1.25000190187 , 1.24472713943 , 1.30713021829 , ]
DTSZ1.10.4.bdom = [ 1.78996733834 , 1.27817778944 , 1.31251573143 , 1.16807675023 , 1.27252915712 , 1.35418061986 , 1.37042969575 , 1.41803763191 , 1.37136638437 , 1.33112867788 , 1.43787405361 , 1.3975183136 , 1.41699043275 , 1.21349856509 , 1.22502951573 , 1.31731415334 , 1.38404559298 , 1.38207417023 , 1.2331711834 , 1.48302330608 , ]
DTSZ1.10.4.cdom = [ 1.29914124179 , 1.25308749132 , 1.30059607044 , 1.15412438939 , 1.19825345448 , 1.39093874996 , 1.38693917212 , 1.43143807973 , 1.31883299424 , 1.35394354446 , 1.5004335934 , 1.3164859675 , 1.35117437257 , 1.27218058461 , 1.32518128726 , 1.34124917893 , 1.34155115732 , 1.33350275275 , 1.30183874628 , 1.47642203615 , ]
DTSZ1.10.6.bdom = [ 4.05972006423 , 2.15125438639 , 2.66305931624 , 1.78482526463 , 3.48837715921 , 2.39226420676 , 1.88435218276 , 2.55469420703 , 2.31994040578 , 1.78318632892 , 1.85347513281 , 2.07911021164 , 2.25837116459 , 1.70746243335 , 1.70436144101 , 1.83288759683 , 1.93717754455 , 1.98051648875 , 1.72637613309 , 2.13809277593 , ]
DTSZ1.10.6.cdom = [ 2.04796907237 , 1.81028644022 , 1.82626399707 , 1.43828668876 , 1.681982205 , 1.84010335889 , 1.71385608729 , 1.84954767352 , 1.90468667719 , 1.6770453195 , 1.73423718457 , 1.84923944876 , 1.93574840322 , 1.82280200999 , 1.52233402182 , 1.80660739844 , 1.7973402247 , 1.97966161575 , 1.98855373043 , 1.84753533636 , ]
DTSZ1.10.8.bdom = [ 10.2053798433 , 13.0171931699 , 5.68242866292 , 5.17145062276 , 7.85582065834 , 4.93278485705 , 3.44643177095 , 5.26845800181 , 4.2250839932 , 4.87688872828 , 3.87007212938 , 2.50069575526 , 3.35898821035 , 3.7198981368 , 5.27582350119 , 3.67791923158 , 3.57564099151 , 3.95592869905 , 4.21286094386 , 4.41370803967 , ]
DTSZ1.10.8.cdom = [ 3.51293475816 , 3.12742032605 , 3.3914239791 , 2.41960847678 , 2.50434741034 , 3.44703995168 , 2.799611632 , 3.22111256121 , 2.55448525602 , 4.42868792525 , 3.56181818278 , 2.55541942216 , 3.18719426664 , 3.12523309263 , 2.41559865394 , 3.5889671119 , 2.52095013491 , 3.2208077278 , 3.57453136067 , 4.67109067914 , ]
DTSZ1.20.2.bdom = [ 1.31440854684 , 1.34741800003 , 1.24425074225 , 1.30739089269 , 1.22542282141 , 1.24443493382 , 1.33167451338 , 1.30226734537 , 1.39028759064 , 1.29259018841 , 1.34211643908 , 1.3445672849 , 1.35204923377 , 1.27307484712 , 1.26709178247 , 1.32274001869 , 1.31605876082 , 1.21138197811 , 1.33517121009 , 1.27886852005 , ]
DTSZ1.20.2.cdom = [ 1.25520374215 , 1.3224160656 , 1.25675021802 , 1.29645777597 , 1.17528587186 , 1.18251080242 , 1.27829527386 , 1.30356681347 , 1.23768725266 , 1.29812721442 , 1.31761118785 , 1.31517873539 , 1.29194100455 , 1.26154190729 , 1.28512247706 , 1.30486332785 , 1.30464228108 , 1.202265422 , 1.26301199327 , 1.26259271977 , ]
DTSZ1.20.4.bdom = [ 1.63439909072 , 1.39261884211 , 1.24839630349 , 1.29438619319 , 1.23015827047 , 1.23348048269 , 1.26364319623 , 1.31298518328 , 1.26434668196 , 1.24305519404 , 1.26027861001 , 1.2864944264 , 1.27324776037 , 1.23899613165 , 1.28312389918 , 1.28958660393 , 1.24604071076 , 1.17010164765 , 1.2321595814 , 1.30277856335 , ]
DTSZ1.20.4.cdom = [ 1.30226563844 , 1.34951300117 , 1.25207987835 , 1.2640546261 , 1.20764154531 , 1.24236372759 , 1.27686657648 , 1.29820212182 , 1.24022613699 , 1.28983079117 , 1.28815890656 , 1.32880452394 , 1.33463377347 , 1.27026529555 , 1.2777262473 , 1.35038010809 , 1.30706847623 , 1.19559422725 , 1.29505761746 , 1.30773534114 , ]
DTSZ1.20.6.bdom = [ 1.61229969854 , 1.45139036256 , 1.25449481557 , 1.28255865073 , 1.42403665761 , 1.24061009018 , 1.48604849697 , 1.30604964873 , 1.53653633919 , 1.23881782256 , 1.26572985405 , 1.29079379741 , 1.3138903027 , 1.22008852551 , 1.24048784263 , 1.37348838379 , 1.25181514724 , 1.16029341164 , 1.24624252936 , 1.28704918601 , ]
DTSZ1.20.6.cdom = [ 1.29145778936 , 1.33482882856 , 1.27087637513 , 1.2516050576 , 1.2278138365 , 1.22310161521 , 1.30126794273 , 1.35181240424 , 1.23573933706 , 1.28739733243 , 1.33534868242 , 1.34154345155 , 1.30399236381 , 1.27327622843 , 1.2645389323 , 1.33885853671 , 1.2836664646 , 1.22622477442 , 1.3479055302 , 1.32612887326 , ]
DTSZ1.20.8.bdom = [ 1.57683235588 , 2.10850211776 , 1.43365710338 , 1.33317621172 , 1.41811723918 , 1.34151448813 , 1.39504934877 , 1.45284243513 , 1.96147201738 , 1.33735777408 , 1.27659036 , 1.51531315069 , 1.42726329451 , 1.2131119838 , 1.33416776179 , 1.30201890648 , 1.30937044551 , 1.22821370229 , 1.37595280194 , 1.24831114283 , ]
DTSZ1.20.8.cdom = [ 1.29626528884 , 1.4993355291 , 1.25976114409 , 1.35294066787 , 1.44320171964 , 1.31253185293 , 1.41084852993 , 1.50334779522 , 1.41875080654 , 1.35061671876 , 1.48912470572 , 1.43703875483 , 1.43960693213 , 1.29428726815 , 1.50854034094 , 1.44675631284 , 1.31572690608 , 1.29089387042 , 1.37121760073 , 1.31197028151 , ]
DTSZ1.40.2.bdom = [ 1.32189343099 , 1.43224801355 , 1.34032404484 , 1.41881727685 , 1.31737987593 , 1.46355688461 , 1.33989526049 , 1.30135889808 , 1.30499884644 , 1.44899384437 , 1.35029092599 , 1.24335364609 , 1.36154175491 , 1.39242593469 , 1.33241228039 , 1.38531604653 , 1.35001959244 , 1.43231539133 , 1.33909554491 , 1.30820263557 , ]
